flow,partner,level,date,value
export,Korea (South),country,2006-01-01,1681.509345
export,Korea (South),country,2007-01-01,1894.99859
export,Korea (South),country,2008-01-01,1976.620689
export,Korea (South),country,2009-01-01,1894.751313
export,Korea (South),country,2010-01-01,2271.614367
export,Korea (South),country,2011-01-01,2323.344216
export,Korea (South),country,2012-01-01,2770.016893
export,Korea (South),country,2013-01-01,2885.346344
export,Korea (South),country,2014-01-01,2969.759911
export,Korea (South),country,2015-01-01,2873.551061
export,Korea (South),country,2016-01-01,2901.030671
export,Korea (South),country,2017-01-01,3258.051781
export,Korea (South),country,2018-01-01,3516.522882
export,Korea (South),country,2019-01-01,3662.55894
export,Korea (South),country,2020-01-01,2935.542029
export,Korea (South),country,2021-01-01,3331.521154
export,Korea (South),country,2022-01-01,3606.941899
export,Korea (South),country,2023-01-01,3212.906777
export,Korea (South),country,2024-01-01,3584.29536
export,Korea (South),country,2025-01-01,3653.978138
export,Netherlands,country,1990-01-01,2392
export,Netherlands,country,1991-01-01,2396
export,Netherlands,country,1992-01-01,2525
export,Netherlands,country,1993-01-01,2558.420094
export,Netherlands,country,1994-01-01,2553.594983
export,Netherlands,country,1995-01-01,2588.9532599999998
export,Netherlands,country,1996-01-01,2577.135047
export,Netherlands,country,1997-01-01,2891.671611
export,Netherlands,country,1998-01-01,3338.81682
export,Netherlands,country,1999-01-01,3798.674063
export,Netherlands,country,2000-01-01,4152.425477
export,Netherlands,country,2001-01-01,4222.804405
export,Netherlands,country,2002-01-01,4171.368457
export,Netherlands,country,2003-01-01,4484.576101
export,Netherlands,country,2004-01-01,4462.777442
export,Netherlands,country,2005-01-01,5548.182762
export,Netherlands,country,2006-01-01,6076.463459
export,Netherlands,country,2007-01-01,6226.219894
export,Netherlands,country,2008-01-01,6324.273341
export,Netherlands,country,2009-01-01,5363.135659
export,Netherlands,country,2010-01-01,5781.144615
