sex,worktime,measure,date,value
_T,PT,volume,2017-01-01,1766090466.4
_T,PT,volume,2018-01-01,1819253323.9
_T,PT,volume,2019-01-01,1874742705.7
_T,PT,volume,2020-01-01,1807211586
_T,PT,volume,2021-01-01,1847655071.9
_T,PT,volume,2022-01-01,1912182991.6
_T,PT,volume,2023-01-01,2002980002.6
_T,PT,volume,2024-01-01,2068204985.4
_T,PT,volume,2025-01-01,2083504382.6
_T,PT,weekly,2010-01-01,17.531248543
_T,PT,weekly,2011-01-01,17.738536277
_T,PT,weekly,2012-01-01,17.84911623
_T,PT,weekly,2013-01-01,17.870053439
_T,PT,weekly,2014-01-01,18.048833022
_T,PT,weekly,2015-01-01,18.072794899
_T,PT,weekly,2016-01-01,17.996346739
_T,PT,weekly,2017-01-01,18.04653517
_T,PT,weekly,2018-01-01,18.169437349
_T,PT,weekly,2019-01-01,18.230952235
_T,PT,weekly,2020-01-01,17.456256696
_T,PT,weekly,2021-01-01,17.958861829
_T,PT,weekly,2022-01-01,18.363864125
_T,PT,weekly,2023-01-01,18.584857213
_T,PT,weekly,2024-01-01,18.670287682
_T,PT,weekly,2025-01-01,18.757727835
_T,PT_I,annual,2010-01-01,1227.9460883
_T,PT_I,annual,2011-01-01,1221.895378
_T,PT_I,annual,2012-01-01,1216.1488755
_T,PT_I,annual,2013-01-01,1201.7956824
_T,PT_I,annual,2014-01-01,1212.6876606
_T,PT_I,annual,2015-01-01,1223.3063214
_T,PT_I,annual,2016-01-01,1232.9764273
_T,PT_I,annual,2017-01-01,1220.1833915
_T,PT_I,annual,2018-01-01,1218.1933219
_T,PT_I,annual,2019-01-01,1219.4833
_T,PT_I,annual,2020-01-01,1179.7659551
_T,PT_I,annual,2021-01-01,1200.9256579
_T,PT_I,annual,2022-01-01,1226.2009728
_T,PT_I,annual,2023-01-01,1230.0621032
_T,PT_I,annual,2024-01-01,1236.0963315
_T,PT_I,annual,2025-01-01,1229.4611659
_T,PT_I,volume,2010-01-01,1052405134.9
_T,PT_I,volume,2011-01-01,1083687264.8
_T,PT_I,volume,2012-01-01,1125002307.9
_T,PT_I,volume,2013-01-01,1142054055.8
_T,PT_I,volume,2014-01-01,1221346284.5
_T,PT_I,volume,2015-01-01,1272456374.7
_T,PT_I,volume,2016-01-01,1304170147.4
_T,PT_I,volume,2017-01-01,1306057220.4
_T,PT_I,volume,2018-01-01,1361282386.4
_T,PT_I,volume,2019-01-01,1406167795.4
_T,PT_I,volume,2020-01-01,1372296334.8
_T,PT_I,volume,2021-01-01,1387638460.7
_T,PT_I,volume,2022-01-01,1432835656.9
_T,PT_I,volume,2023-01-01,1511377238.4
_T,PT_I,volume,2024-01-01,1579474112.2
_T,PT_I,volume,2025-01-01,1599719813.3
_T,PT_I,weekly,2010-01-01,26.532711193
_T,PT_I,weekly,2011-01-01,26.513492761
_T,PT_I,weekly,2012-01-01,26.604643055
_T,PT_I,weekly,2013-01-01,26.527601949
_T,PT_I,weekly,2014-01-01,26.745388781
