origin,sex,date,value
tot,tot,2013-04-01,4.664539548068778
tot,tot,2013-05-01,4.469896502403567
tot,tot,2013-06-01,4.442213642178454
tot,tot,2013-07-01,4.806124099311041
tot,tot,2013-08-01,4.99098060290802
tot,tot,2013-09-01,4.86817505566908
tot,tot,2013-10-01,4.372732281489884
tot,tot,2013-11-01,4.306438843980299
tot,tot,2013-12-01,4.636432811347689
tot,tot,2014-01-01,5.271421448398249
tot,tot,2014-02-01,5.432702994900949
tot,tot,2014-03-01,5.243419174683106
tot,tot,2014-04-01,4.838259394433838
tot,tot,2014-05-01,4.585675281315265
tot,tot,2014-06-01,4.557084936140005
tot,tot,2014-07-01,4.991393423343786
tot,tot,2014-08-01,5.177330759695238
tot,tot,2014-09-01,4.983806514799741
tot,tot,2014-10-01,4.337430563851109
tot,tot,2014-11-01,4.168895994929831
tot,tot,2014-12-01,4.360955013584149
tot,tot,2015-01-01,4.691572700485546
tot,tot,2015-02-01,4.764979165649926
tot,tot,2015-03-01,4.717949953107551
tot,tot,2015-04-01,4.509791939321736
tot,tot,2015-05-01,4.361587638840157
tot,tot,2015-06-01,4.445930644570041
tot,tot,2015-07-01,4.992619284474074
tot,tot,2015-08-01,5.265179651891468
tot,tot,2015-09-01,5.213823323419269
tot,tot,2015-10-01,4.815585291416234
tot,tot,2015-11-01,4.794560620570386
tot,tot,2015-12-01,5.024341891901196
tot,tot,2016-01-01,5.347649514334931
tot,tot,2016-02-01,5.420202887809275
tot,tot,2016-03-01,5.2507340325122405
tot,tot,2016-04-01,4.774239973796885
tot,tot,2016-05-01,4.537228498717809
tot,tot,2016-06-01,4.566897362633736
tot,tot,2016-07-01,4.993623265429618
tot,tot,2016-08-01,5.216202720995099
tot,tot,2016-09-01,5.113668496080259
tot,tot,2016-10-01,4.573846027943941
tot,tot,2016-11-01,4.480915800699443
tot,tot,2016-12-01,4.742742428875461
tot,tot,2017-01-01,5.265619391758618
tot,tot,2017-02-01,5.388457126561586
tot,tot,2017-03-01,5.148875510699581
tot,tot,2017-04-01,4.560969150000256
tot,tot,2017-05-01,4.281798053772372
tot,tot,2017-06-01,4.34213132494564
tot,tot,2017-07-01,4.869244129416303
tot,tot,2017-08-01,5.105194601646962
tot,tot,2017-09-01,4.973519565330042
tot,tot,2017-10-01,4.491234120730976
tot,tot,2017-11-01,4.434358220487137
tot,tot,2017-12-01,4.701619555186839
tot,tot,2018-01-01,5.220536742185193
tot,tot,2018-02-01,5.321862748228189
tot,tot,2018-03-01,5.133101846854221
tot,tot,2018-04-01,4.82348088702208
tot,tot,2018-05-01,4.607165824677863
tot,tot,2018-06-01,4.425193746905073
tot,tot,2018-07-01,4.373064391383403
tot,tot,2018-08-01,4.4308782822382025
tot,tot,2018-09-01,4.444900759240203
tot,tot,2018-10-01,4.457621680279579
tot,tot,2018-11-01,4.573709881493055
tot,tot,2018-12-01,4.755933424659715
tot,tot,2019-01-01,4.990389026952969
tot,tot,2019-02-01,5.02065582758911
tot,tot,2019-03-01,4.795518403376692
tot,tot,2019-04-01,4.337114602710628
