D0,D1,D2,D3,date,value
AV1,KC5A,H,F,2023-11-01,239649
AV1,KC5A,H,F,2023-12-01,240937
AV1,KC5A,H,F,2024-01-01,242180
AV1,KC5A,H,F,2024-02-01,242432
AV1,KC5A,H,F,2024-03-01,243727
AV1,KC5A,H,F,2024-04-01,244859
AV1,KC5A,H,F,2024-05-01,246394
AV1,KC5A,H,F,2024-06-01,245498
AV1,KC5A,H,F,2024-07-01,246182
AV1,KC5A,H,F,2024-08-01,246652
AV1,KC5A,H,F,2024-09-01,246322
AV1,KC5A,H,F,2024-10-01,247631
AV1,KC5A,H,F,2024-11-01,247532
AV1,KC5A,H,F,2024-12-01,248930
AV1,KC5A,H,F,2025-01-01,250243
AV1,KC5A,H,F,2025-02-01,251261
AV1,KC5A,H,F,2025-03-01,252162
AV1,KC5A,H,F,2025-04-01,253118
AV1,KC5A,H,F,2025-05-01,254073
AV1,KC5A,H,F,2025-06-01,253686
AV1,KC5A,H,F,2025-07-01,254331
AV1,KC5A,H,F,2025-08-01,255257
AV1,KC5A,H,F,2025-09-01,256252
AV1,KC5A,H,F,2025-10-01,257678
AV1,KC5A,H,F,2025-11-01,257647
AV1,KC5A,H,F,2025-12-01,258107
AV1,KC5A,H,F,2026-01-01,258355
AV1,KC5A,H,F,2026-02-01,258866
AV1,KC5A,H,F,2026-03-01,259886
AV1,KC5A,H,F,2026-04-01,259581
AV1,KC5A,T1,B,2002-01-01,171540
AV1,KC5A,T1,B,2002-02-01,171057
AV1,KC5A,T1,B,2002-03-01,171823
AV1,KC5A,T1,B,2002-04-01,169502
AV1,KC5A,T1,B,2002-05-01,168848
AV1,KC5A,T1,B,2002-06-01,169729
AV1,KC5A,T1,B,2002-07-01,164591
AV1,KC5A,T1,B,2002-08-01,162782
AV1,KC5A,T1,B,2002-09-01,163289
AV1,KC5A,T1,B,2002-10-01,161412
AV1,KC5A,T1,B,2002-11-01,162139
AV1,KC5A,T1,B,2002-12-01,161819
AV1,KC5A,T1,B,2003-01-01,159787
AV1,KC5A,T1,B,2003-02-01,160829
AV1,KC5A,T1,B,2003-03-01,159988
